,Station / Province,Province,,,,,,Station / Province,Province,,,,Eastern Cape,,,Joza,Eastern Cape,,,,,,,,,CLUSTER,PROVINCE,,Cluster,,,,Murder,,,Murder,,,,CLUSTER,PROVINCE,,,,,,,,,,Province,Cluster,Station,,Province,Cluster,Station
,Harrismith,Free State,,,Durban Central,,,Durban Central,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Durban Central Cc,Durban Central,,Kwazulu/Natal,Durban Central Cc,Durban Central
,Heidedal,Free State,,,Durban North,,,Durban North,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Durban Central Cc,Durban North,,Kwazulu/Natal,Durban Central Cc,Durban North
,Heilbron,Free State,,,Durbanville,,,Durbanville,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Kraaifontein Cc,Durbanville,,Western Cape,Kraaifontein Cc,Durbanville
,Hennenman,Free State,,,Dutywa,,,Dutywa,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Butterworth Cc,Dutywa,,Eastern Cape,Butterworth Cc,Dutywa
,Hertzogville,Free State,,,Dwaalboom,,,Dwaalboom,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Thabazimbi Cc,Dwaalboom,,Limpopo,Thabazimbi Cc,Dwaalboom
,Heuningspruit,Free State,,,Dysselsdorp,,,Dysselsdorp,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Oudtshoorn Cc,Dysselsdorp,,Western Cape,Oudtshoorn Cc,Dysselsdorp
,Hobhouse,Free State,,,East London,,,East London,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,East London Cc,East London,,Eastern Cape,East London Cc,East London
,Hoopstad,Free State,,,Edenburg,,,Edenburg,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Trompsburg Cc,Edenburg,,Free State,Trompsburg Cc,Edenburg
,Jacobsdal,Free State,,,Edenpark,,,Edenpark,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Katlehong Cc,Edenpark,,Gauteng,Katlehong Cc,Edenpark
,Jagersfontein,Free State,,,Edenvale,,,Edenvale,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Tembisa Cc,Edenvale,,Gauteng,Tembisa Cc,Edenvale
,Kagisanong,Free State,,,Edenville,,,Edenville,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Tumahole Cc,Edenville,,Free State,Tumahole Cc,Edenville
,Kestell,Free State,,,Eendekuil,,,Eendekuil,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Vredenburg Cc,Eendekuil,,Western Cape,Vredenburg Cc,Eendekuil
,Koffiefontein,Free State,,,Eersterust,,,Eersterust,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Mamelodi Cc,Eersterust,,Gauteng,Mamelodi Cc,Eersterust
,Kommissiepoort,Free State,,,Ekangala,,,Ekangala,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Bronkhorstspruit Cc,Ekangala,,Gauteng,Bronkhorstspruit Cc,Ekangala
,Kopanong,Free State,,,Ekombe,,,Ekombe,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Eshowe Cc,Ekombe,,Kwazulu/Natal,Eshowe Cc,Ekombe
,Koppies,Free State,,,Ekulindeni,,,Ekulindeni,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Elukwatini Cc,Ekulindeni,,Mpumalanga,Elukwatini Cc,Ekulindeni
,Kroonstad,Free State,,,Ekuvukeni,,,Ekuvukeni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Ladysmith Cc,Ekuvukeni,,Kwazulu/Natal,Ladysmith Cc,Ekuvukeni
,Ladybrand,Free State,,,Elands Bay,,,Elands Bay,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Vredendal Cc,Elands Bay,,Western Cape,Vredendal Cc,Elands Bay
,Lindley,Free State,,,Elands Height,,,Elands Height,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Mount Fletcher Cc,Elands Height,,Eastern Cape,Mount Fletcher Cc,Elands Height
,Luckhoff,Free State,,,Elandskraal,,,Elandskraal,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Mahwelereng Cc,Elandskraal,,Limpopo,Mahwelereng Cc,Elandskraal
,Mafube,Free State,,,Elandslaagte,,,Elandslaagte,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Ladysmith Cc,Elandslaagte,,Kwazulu/Natal,Ladysmith Cc,Elandslaagte
,Makwane,Free State,,,Eldorado Park,,,Eldorado Park,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Orlando Cc,Eldorado Park,,Gauteng,Orlando Cc,Eldorado Park
,Mangaung,Free State,,,Elliot,,,Elliot,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Elliot Cc,Elliot,,Eastern Cape,Elliot Cc,Elliot
,Maokeng,Free State,,,Elliotdale,,,Elliotdale,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Mqanduli Cc,Elliotdale,,Eastern Cape,Mqanduli Cc,Elliotdale
,Marquard,Free State,,,Elsburg,,,Elsburg,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Germiston Cc,Elsburg,,Gauteng,Germiston Cc,Elsburg
,Meloding,Free State,,,Elsies River,,,Elsies River,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Bishop Lavis Cc,Elsies River,,Western Cape,Bishop Lavis Cc,Elsies River
,Memel,Free State,,,Elukwatini,,,Elukwatini,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Elukwatini Cc,Elukwatini,,Mpumalanga,Elukwatini Cc,Elukwatini
,Namahadi,Free State,,,Emanguzi,,,Emanguzi,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Jozini Cc,Emanguzi,,Kwazulu/Natal,Jozini Cc,Emanguzi
,Navalsig,Free State,,,Ematimatolo,,,Ematimatolo,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Greytown Cc,Ematimatolo,,Kwazulu/Natal,Greytown Cc,Ematimatolo
,Odendaalsrus,Free State,,,Ematsheni,,,Ematsheni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Ladysmith Cc,Ematsheni,,Kwazulu/Natal,Ladysmith Cc,Ematsheni
,Oranjeville,Free State,,,Embalenhle,,,Embalenhle,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Secunda Cc,Embalenhle,,Mpumalanga,Secunda Cc,Embalenhle
,Park Road,Free State,,,Empangeni,,,Empangeni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Empangeni Cc,Empangeni,,Kwazulu/Natal,Empangeni Cc,Empangeni
,Parys,Free State,,,Emzinoni,,,Emzinoni,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Secunda Cc,Emzinoni,,Mpumalanga,Secunda Cc,Emzinoni
,Paul Roux,Free State,,,Ennerdale,,,Ennerdale,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Sebokeng Cc,Ennerdale,,Gauteng,Sebokeng Cc,Ennerdale
,Petrus Steyn,Free State,,,Erasmia,,,Erasmia,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Pretoria Central Cc,Erasmia,,Gauteng,Pretoria Central Cc,Erasmia
,Petrusburg,Free State,,,Ermelo,,,Ermelo,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Ermelo Cc,Ermelo,,Mpumalanga,Ermelo Cc,Ermelo
,Philippolis,Free State,,,Eshowe,,,Eshowe,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Eshowe Cc,Eshowe,,Kwazulu/Natal,Eshowe Cc,Eshowe
,Phuthaditjhaba,Free State,,,Esikhaleni,,,Esikhaleni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Empangeni Cc,Esikhaleni,,Kwazulu/Natal,Empangeni Cc,Esikhaleni
,Reddersburg,Free State,,,Estcourt,,,Estcourt,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Estcourt Cc,Estcourt,,Kwazulu/Natal,Estcourt Cc,Estcourt
,Reitz,Free State,,,Etwatwa,,,Etwatwa,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Benoni Cc,Etwatwa,,Gauteng,Benoni Cc,Etwatwa
,Roadside,Free State,,,Evander,,,Evander,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Secunda Cc,Evander,,Mpumalanga,Secunda Cc,Evander
,Rosendal,Free State,,,Evaton,,,Evaton,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Sebokeng Cc,Evaton,,Gauteng,Sebokeng Cc,Evaton
,Rouxville,Free State,,,Evatt,,,Evatt,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kokstad Cc,Evatt,,Kwazulu/Natal,Kokstad Cc,Evatt
,Sasolburg,Free State,,,Excelsior,,,Excelsior,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Ladybrand Cc,Excelsior,,Free State,Ladybrand Cc,Excelsior
,Selosesha,Free State,,,Ezakheni,,,Ezakheni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Ladysmith Cc,Ezakheni,,Kwazulu/Natal,Ladysmith Cc,Ezakheni
,Senekal,Free State,,,Ezibayeni,,,Ezibayeni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Ulundi Cc,Ezibayeni,,Kwazulu/Natal,Ulundi Cc,Ezibayeni
,Smithfield,Free State,,,Ezibeleni,,,Ezibeleni,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Queenstown Cc,Ezibeleni,,Eastern Cape,Queenstown Cc,Ezibeleni
,Soutpan,Free State,,,Ezinqoleni,,,Ezinqoleni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Margate Cc,Ezinqoleni,,Kwazulu/Natal,Margate Cc,Ezinqoleni
,Springfontein,Free State,,,Fairland,,,Fairland,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Jhb Central Cc,Fairland,,Gauteng,Jhb Central Cc,Fairland
,Steunmekaar,Free State,,,Fauresmith,,,Fauresmith,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Trompsburg Cc,Fauresmith,,Free State,Trompsburg Cc,Fauresmith
,Steynsrus,Free State,,,Fernie,,,Fernie,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Elukwatini Cc,Fernie,,Mpumalanga,Elukwatini Cc,Fernie
,Thaba-Nchu,Free State,,,Ficksburg,,,Ficksburg,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Ficksburg Cc,Ficksburg,,Free State,Ficksburg Cc,Ficksburg
,Thabong,Free State,,,Fish Hoek,,,Fish Hoek,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Muizenberg Cc,Fish Hoek,,Western Cape,Muizenberg Cc,Fish Hoek
,Theunissen,Free State,,,Flagstaff,,,Flagstaff,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Port St Johns Cc,Flagstaff,,Eastern Cape,Port St Johns Cc,Flagstaff
,Tierpoort,Free State,,,Florida,,,Florida,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Honeydew Cc,Florida,,Gauteng,Honeydew Cc,Florida
,Trompsburg,Free State,,,Floukraal,,,Floukraal,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Aliwal North Cc,Floukraal,,Eastern Cape,Aliwal North Cc,Floukraal
,Tseki,Free State,,,Fochville,,,Fochville,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Carletonville Cc,Fochville,,Gauteng,Carletonville Cc,Fochville
,Tseseng,Free State,,,Folweni,,,Folweni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Umlazi Cc,Folweni,,Kwazulu/Natal,Umlazi Cc,Folweni
,Tumahole,Free State,,,Fort Beaufort,,,Fort Beaufort,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Alice Cc,Fort Beaufort,,Eastern Cape,Alice Cc,Fort Beaufort
,Tweeling,Free State,,,Fort Brown,,,Fort Brown,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Grahamstown Cc,Fort Brown,,Eastern Cape,Grahamstown Cc,Fort Brown
,Tweespruit,Free State,,,Fouriesburg,,,Fouriesburg,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Bethlehem Cc,Fouriesburg,,Free State,Bethlehem Cc,Fouriesburg
,Van Stadensrus,Free State,,,Franklin,,,Franklin,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kokstad Cc,Franklin,,Kwazulu/Natal,Kokstad Cc,Franklin
,Ventersburg,Free State,,,Franschhoek,,,Franschhoek,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Stellenbosch Cc,Franschhoek,,Western Cape,Stellenbosch Cc,Franschhoek
,Verkeerdevlei,Free State,,,Fraserburg,,,Fraserburg,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Calvinia Cc,Fraserburg,,Northern Cape,Calvinia Cc,Fraserburg
,Verkykerskop,Free State,,,Galeshewe,,,Galeshewe,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Galeshewe Cc,Galeshewe,,Northern Cape,Galeshewe Cc,Galeshewe
,Vierfontein,Free State,,,Gamalakhe,,,Gamalakhe,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Margate Cc,Gamalakhe,,Kwazulu/Natal,Margate Cc,Gamalakhe
,Viljoensdrif,Free State,,,Gans Bay,,,Gans Bay,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Hermanus Cc,Gans Bay,,Western Cape,Hermanus Cc,Gans Bay
,Viljoenskroon,Free State,,,Ganyesa,,,Ganyesa,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Vryburg Cc,Ganyesa,,North West,Vryburg Cc,Ganyesa
,Villiers,Free State,,,Ga-Rankuwa,,,Ga-Rankuwa,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Ga-Rankuwa Cc,Ga-Rankuwa,,Gauteng,Ga-Rankuwa Cc,Ga-Rankuwa
,Virginia,Free State,,,Gariepdam,,,Gariepdam,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Trompsburg Cc,Gariepdam,,Free State,Trompsburg Cc,Gariepdam
,Vrede,Free State,,,Garies,,,Garies,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Springbok Cc,Garies,,Northern Cape,Springbok Cc,Garies
,Vredefort,Free State,,,Garsfontein,,,Garsfontein,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Sunnyside Cc,Garsfontein,,Gauteng,Sunnyside Cc,Garsfontein
,Wanda,Free State,,,Gelvandale,,,Gelvandale,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Mount Road Cc,Gelvandale,,Eastern Cape,Mount Road Cc,Gelvandale
,Warden,Free State,,,Genadendal,,,Genadendal,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Caledon Cc,Genadendal,,Western Cape,Caledon Cc,Genadendal
,Welkom,Free State,,,George,,,George,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,George Cc,George,,Western Cape,George Cc,George
,Wepener,Free State,,,Germiston,,,Germiston,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Germiston Cc,Germiston,,Gauteng,Germiston Cc,Germiston
,Wesselsbron,Free State,,,Gilead,,,Gilead,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Mahwelereng Cc,Gilead,,Limpopo,Mahwelereng Cc,Gilead
,Winburg,Free State,,,Gingindlovu,,,Gingindlovu,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Eshowe Cc,Gingindlovu,,Kwazulu/Natal,Eshowe Cc,Gingindlovu
,Zamdela,Free State,,,Giyani,,,Giyani,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Giyani Cc,Giyani,,Limpopo,Giyani Cc,Giyani
,Zastron,Free State,,,Glen,,,Glen,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Bultfontein Cc,Glen,,Free State,Bultfontein Cc,Glen
,Actonville,Gauteng,,,Glen Grey,,,Glen Grey,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Queenstown Cc,Glen Grey,,Eastern Cape,Queenstown Cc,Glen Grey
,Akasia,Gauteng,,,Glencoe,,,Glencoe,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Dundee Cc,Glencoe,,Kwazulu/Natal,Dundee Cc,Glencoe
,Alberton,Gauteng,,,Glendale,,,Glendale,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kwadukuza Cc,Glendale,,Kwazulu/Natal,Kwadukuza Cc,Glendale
,Alexandra,Gauteng,,,Gluckstadt,,,Gluckstadt,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Vryheid Cc,Gluckstadt,,Kwazulu/Natal,Vryheid Cc,Gluckstadt
,Atteridgeville,Gauteng,,,Goedemoed,,,Goedemoed,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Smithfield Cc,Goedemoed,,Free State,Smithfield Cc,Goedemoed
,Bedfordview,Gauteng,,,Gonubie,,,Gonubie,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,East London Cc,Gonubie,,Eastern Cape,East London Cc,Gonubie
,Bekkersdal,Gauteng,,,Goodwood,,,Goodwood,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Bellville Cc,Goodwood,,Western Cape,Bellville Cc,Goodwood
,Benoni,Gauteng,,,Gordons Bay,,,Gordons Bay,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Khayelitsha Cc,Gordons Bay,,Western Cape,Khayelitsha Cc,Gordons Bay
,Boipatong,Gauteng,,,Gowan Lea,,,Gowan Lea,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kokstad Cc,Gowan Lea,,Kwazulu/Natal,Kokstad Cc,Gowan Lea
,Boksburg,Gauteng,,,Graaff-Reinet,,,Graaff-Reinet,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Graaff-Reinet Cc,Graaff-Reinet,,Eastern Cape,Graaff-Reinet Cc,Graaff-Reinet
,Boksburg North,Gauteng,,,Graafwater,,,Graafwater,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Vredendal Cc,Graafwater,,Western Cape,Vredendal Cc,Graafwater
,Booysens,Gauteng,,,Grabouw,,,Grabouw,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Caledon Cc,Grabouw,,Western Cape,Caledon Cc,Grabouw
,Boschkop,Gauteng,,,Grahamstown,,,Grahamstown,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Grahamstown Cc,Grahamstown,,Eastern Cape,Grahamstown Cc,Grahamstown
,Brackendowns,Gauteng,,,Graskop,,,Graskop,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Lydenburg Cc,Graskop,,Mpumalanga,Lydenburg Cc,Graskop
,Brakpan,Gauteng,,,Grassy Park,,,Grassy Park,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Wynberg Cc,Grassy Park,,Western Cape,Wynberg Cc,Grassy Park
,Bramley,Gauteng,,,Gravelotte,,,Gravelotte,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Phalaborwa Cc,Gravelotte,,Limpopo,Phalaborwa Cc,Gravelotte
,Brixton,Gauteng,,,Greenwood Park,,,Greenwood Park,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Inanda Cc,Greenwood Park,,Kwazulu/Natal,Inanda Cc,Greenwood Park
,Bronkhorstspruit,Gauteng,,,Greylingstad,,,Greylingstad,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Balfour Cc,Greylingstad,,Mpumalanga,Balfour Cc,Greylingstad
,Brooklyn,Gauteng,,,Greytown,,,Greytown,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Greytown Cc,Greytown,,Kwazulu/Natal,Greytown Cc,Greytown
,Carletonville,Gauteng,,,Griekwastad,,,Griekwastad,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Kimberley Cc,Griekwastad,,Northern Cape,Kimberley Cc,Griekwastad
,Cleveland,Gauteng,,,Groblersdal,,,Groblersdal,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Groblersdal Cc,Groblersdal,,Limpopo,Groblersdal Cc,Groblersdal
,Crystalpark,Gauteng,,,Groblershoop,,,Groblershoop,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Upington Cc,Groblershoop,,Northern Cape,Upington Cc,Groblershoop
,Cullinan,Gauteng,,,Groenvlei,,,Groenvlei,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Newcastle Cc,Groenvlei,,Kwazulu/Natal,Newcastle Cc,Groenvlei
,Daveyton,Gauteng,,,Groot Brakrivier,,,Groot Brakrivier,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Da Gamaskop Cc,Groot Brakrivier,,Western Cape,Da Gamaskop Cc,Groot Brakrivier
,Dawn Park,Gauteng,,,Groot Marico,,,Groot Marico,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Zeerust Cc,Groot Marico,,North West,Zeerust Cc,Groot Marico
,De Deur,Gauteng,,,Groot-Drakenstein,,,Groot-Drakenstein,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Stellenbosch Cc,Groot-Drakenstein,,Western Cape,Stellenbosch Cc,Groot-Drakenstein
,Devon,Gauteng,,,Grootvlei,,,Grootvlei,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Balfour Cc,Grootvlei,,Mpumalanga,Balfour Cc,Grootvlei
,Diepkloof,Gauteng,,,Gugulethu,,,Gugulethu,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Nyanga Cc,Gugulethu,,Western Cape,Nyanga Cc,Gugulethu
,Diepsloot,Gauteng,,,Haenertsburg,,,Haenertsburg,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Tzaneen Cc,Haenertsburg,,Limpopo,Tzaneen Cc,Haenertsburg
,Dobsonville,Gauteng,,,Hamburg,,,Hamburg,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Peddie Cc,Hamburg,,Eastern Cape,Peddie Cc,Hamburg
