Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Kwazulu/Natal,Kwamashu E,Sexual Offences,0,0,0,0,0,122,219,182,141,114,137,1,-8.02857142857142,212.71428571428564
Eastern Cape,Duncan Village,Sexual Offences,154,164,153,162,118,133,115,127,140,81,69,1,-7.899999999999992,168.22727272727275
Free State,Kagisanong,Sexual Offences,172,166,180,153,152,174,116,133,112,126,89,1,-7.77272727272727,181.86363636363637
Western Cape,Grassy Park,Sexual Offences,135,138,132,144,127,125,89,97,92,64,76,1,-7.663636363636359,149.13636363636363
Eastern Cape,Grahamstown,Sexual Offences,169,206,168,172,160,178,188,190,188,73,85,1,-7.527272727272714,199.18181818181816
Eastern Cape,Gelvandale,Sexual Offences,156,152,187,155,140,152,145,126,95,119,83,1,-7.509090909090913,174.81818181818187
Western Cape,Delft,Sexual Offences,324,266,247,225,226,240,214,248,214,225,207,1,-7.399999999999994,276.6363636363637
Mpumalanga,Siyabuswa,Sexual Offences,146,172,144,198,133,105,108,144,109,99,90,1,-7.363636363636354,168.45454545454544
Western Cape,Khayelitsha,Sexual Offences,328,282,266,216,258,251,247,241,230,229,223,1,-7.32727272727273,288.5454545454545
Western Cape,Ravensmead,Sexual Offences,153,107,100,77,113,95,75,64,69,71,52,1,-7.327272727272721,125.36363636363636
Mpumalanga,Nelspruit,Sexual Offences,137,122,84,123,119,95,67,73,72,75,57,1,-7.054545454545455,128.3636363636364
Gauteng,Sunnyside,Sexual Offences,160,103,92,109,113,125,91,75,76,65,63,1,-7.045454545454541,132.6818181818182
Gauteng,Silverton,Sexual Offences,108,87,113,113,85,91,73,56,61,52,41,1,-6.881818181818177,114.40909090909086
Western Cape,Steenberg,Sexual Offences,112,122,120,91,127,83,80,70,90,47,57,1,-6.854545454545453,125.0909090909091
Gauteng,Kagiso,Sexual Offences,215,234,243,219,220,184,182,152,173,188,178,1,-6.827272727272723,233.0454545454546
Mpumalanga,Kwaggafontein,Sexual Offences,116,100,84,100,87,99,58,47,46,55,53,1,-6.763636363636367,110.63636363636365
Gauteng,Brixton,Sexual Offences,65,73,125,213,62,63,44,64,44,49,48,1,-6.727272727272721,110.90909090909089
Gauteng,Mabopane,Sexual Offences,134,138,126,123,125,80,74,96,67,101,72,1,-6.7272727272727195,136.90909090909088
Kwazulu/Natal,Montclair,Sexual Offences,55,59,124,84,115,54,42,34,35,22,26,1,-6.663636363636359,92.40909090909092
