Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Gauteng,Daveyton,Attempted murder,51,45,43,24,28,30,20,18,27,33,29,1,-2.054545454545455,41.909090909090935
Eastern Cape,Kwaaiman,Attempted murder,38,18,31,8,9,13,5,14,17,10,6,1,-2.0545454545454533,25.636363636363633
Gauteng,Naledi,Attempted murder,33,35,36,25,34,19,13,18,19,23,15,1,-2.0363636363636357,34.72727272727273
Gauteng,Vereeniging,Attempted murder,38,40,24,43,26,19,19,21,14,22,24,1,-2.0272727272727264,36.5
Kwazulu/Natal,Ezinqoleni,Attempted murder,21,19,34,31,20,10,6,14,11,10,7,1,-2.0272727272727264,26.772727272727273
Mpumalanga,Barberton,Attempted murder,18,22,39,36,62,12,7,13,10,12,20,1,-1.981818181818181,32.72727272727273
Mpumalanga,Lydenburg,Attempted murder,18,28,19,21,24,11,7,7,10,7,6,1,-1.9636363636363632,24.18181818181818
Northern Cape,Rosedale,Attempted murder,46,46,48,44,42,30,36,23,40,39,23,1,-1.9545454545454535,47.681818181818194
Northern Cape,Kanoneiland,Attempted murder,29,12,13,5,5,2,1,2,3,2,2,1,-1.9545454545454533,16.681818181818173
Gauteng,Cleveland,Attempted murder,48,64,46,35,35,32,37,31,34,37,35,1,-1.9545454545454533,49.22727272727273
Mpumalanga,Witrivier,Attempted murder,30,20,12,17,5,4,8,10,5,5,6,1,-1.9272727272727275,20.727272727272734
Gauteng,Tokoza,Attempted murder,37,38,47,52,48,22,27,21,21,37,28,1,-1.9090909090909072,43.90909090909091
Kwazulu/Natal,Kranskop,Attempted murder,42,59,66,58,63,58,41,38,41,36,46,1,-1.9,59.318181818181834
Kwazulu/Natal,Verulam,Attempted murder,41,50,94,89,101,63,61,59,40,50,52,1,-1.881818181818178,73.04545454545453
Northern Cape,Danielskuil,Attempted murder,27,20,13,16,6,8,2,8,5,4,8,1,-1.8454545454545446,19.863636363636363
Gauteng,Actonville,Attempted murder,25,33,29,35,23,12,13,11,9,17,21,1,-1.8363636363636342,29.909090909090903
Mpumalanga,Bushbuckridge,Attempted murder,31,36,19,28,27,18,27,14,8,15,20,1,-1.8181818181818172,31.18181818181818
Gauteng,Pretoria Central,Attempted murder,37,53,35,27,41,38,24,25,36,28,21,1,-1.7999999999999996,42.18181818181819
Eastern Cape,Centane,Attempted murder,62,50,50,33,28,42,47,33,31,25,50,1,-1.7999999999999974,49.99999999999999
Gauteng,Brixton,Attempted murder,31,29,28,15,17,19,7,12,10,14,18,1,-1.7727272727272714,27.04545454545454
Kwazulu/Natal,Pietermaritzburg,Attempted murder,42,46,31,26,18,13,16,26,17,40,17,1,-1.7545454545454529,35.31818181818181
Kwazulu/Natal,Ladysmith,Attempted murder,59,79,67,81,73,52,64,56,51,54,62,1,-1.7454545454545425,72.18181818181819
Free State,Batho,Attempted murder,28,20,16,18,15,13,6,13,18,3,6,1,-1.7363636363636357,22.863636363636363
Gauteng,Germiston,Attempted murder,58,57,56,50,45,38,26,31,31,46,55,1,-1.7363636363636343,53.49999999999999
Gauteng,Edenpark,Attempted murder,39,32,36,30,52,42,24,18,18,25,28,1,-1.7181818181818176,39.86363636363637
North West,Tlhabane,Attempted murder,30,22,51,48,24,15,24,16,30,18,21,1,-1.7090909090909072,35.72727272727272
Gauteng,Meadowlands,Attempted murder,78,73,59,79,55,44,54,48,51,63,66,1,-1.6999999999999997,69.40909090909092
Kwazulu/Natal,Jozini,Attempted murder,35,41,11,18,32,18,18,18,11,19,18,1,-1.6999999999999988,30.22727272727273
Eastern Cape,Queenstown,Attempted murder,21,21,17,13,17,16,15,8,7,5,5,1,-1.6909090909090903,21.63636363636364
Northern Cape,Groblershoop,Attempted murder,29,15,14,3,7,9,1,10,9,2,4,1,-1.6727272727272717,17.727272727272723
Gauteng,De Deur,Attempted murder,50,37,40,40,33,35,22,23,32,36,28,1,-1.6636363636363636,42.50000000000002
Mpumalanga,Embalenhle,Attempted murder,39,31,53,24,21,14,18,9,19,18,40,1,-1.6545454545454532,34.27272727272727
Mpumalanga,Tweefontein,Attempted murder,20,18,12,13,19,13,10,7,3,2,6,1,-1.6545454545454532,19.454545454545446
Gauteng,Bedfordview,Attempted murder,30,22,27,22,23,13,13,9,10,15,17,1,-1.636363636363636,26.45454545454546
Gauteng,Alexandra,Attempted murder,140,118,99,105,105,105,70,93,142,126,84,1,-1.6181818181818168,116.00000000000001
Gauteng,Midrand,Attempted murder,41,42,35,30,40,37,35,27,31,29,21,1,-1.5909090909090906,41.40909090909092
Kwazulu/Natal,Bhekithemba,Attempted murder,66,50,50,61,53,40,37,47,32,47,53,1,-1.5909090909090893,56.68181818181819
Northern Cape,Griekwastad,Attempted murder,18,18,11,9,7,8,4,4,4,3,2,1,-1.581818181818182,15.90909090909091
Northern Cape,Kuruman,Attempted murder,27,22,15,14,14,18,6,9,6,10,11,1,-1.572727272727273,21.68181818181819
Eastern Cape,Cambridge,Attempted murder,24,14,22,20,20,10,13,15,10,8,5,1,-1.5636363636363635,22.454545454545457
Eastern Cape,Tsolo,Attempted murder,26,40,27,20,16,11,11,22,14,20,16,1,-1.545454545454546,28.000000000000007
Kwazulu/Natal,Sawoti,Attempted murder,17,12,21,21,20,5,16,5,7,4,5,1,-1.5454545454545445,19.818181818181817
Gauteng,Lenasia South,Attempted murder,57,30,38,42,49,29,20,20,20,33,46,1,-1.5454545454545423,42.63636363636363
Eastern Cape,Inyibiba,Attempted murder,18,26,23,11,23,20,6,9,8,9,11,1,-1.5363636363636357,22.590909090909086
Mpumalanga,Schoemansdal,Attempted murder,10,14,23,24,34,10,14,7,8,2,6,1,-1.5181818181818176,21.409090909090907
Gauteng,Boksburg,Attempted murder,39,42,24,18,18,21,11,17,16,20,30,1,-1.5090909090909095,30.818181818181824
Eastern Cape,Mdantsane,Attempted murder,46,24,28,38,20,25,20,16,24,28,21,1,-1.5000000000000004,33.86363636363639
Limpopo,Seshego,Attempted murder,55,48,30,31,23,28,32,47,24,30,32,1,-1.49090909090909,42.00000000000001
Gauteng,Boschkop,Attempted murder,18,16,17,20,22,17,14,5,9,7,5,1,-1.4818181818181815,21.045454545454543
Northern Cape,Roodepan,Attempted murder,41,32,12,15,19,9,18,8,9,20,23,1,-1.472727272727273,26.090909090909093
Gauteng,Brackendowns,Attempted murder,16,20,39,35,32,23,12,17,20,17,9,1,-1.4545454545454541,29.090909090909093
Free State,Wesselsbron,Attempted murder,32,28,32,17,17,17,15,23,20,16,15,1,-1.4454545454545455,28.318181818181827
Eastern Cape,Mqanduli,Attempted murder,35,25,27,16,16,18,16,12,18,13,20,1,-1.4363636363636367,26.818181818181827
Kwazulu/Natal,Mandeni,Attempted murder,15,18,16,20,8,17,7,7,4,8,4,1,-1.4363636363636365,18.45454545454546
Kwazulu/Natal,Empangeni,Attempted murder,141,144,142,125,112,106,112,126,141,116,132,1,-1.4363636363636347,134.1818181818182
Gauteng,Kwa Thema,Attempted murder,50,36,38,34,33,37,28,23,27,27,38,1,-1.418181818181817,40.81818181818183
Mpumalanga,Calcutta,Attempted murder,37,37,46,64,43,24,32,43,40,31,25,1,-1.4090909090909094,45.40909090909092
Kwazulu/Natal,Dududu,Attempted murder,15,19,10,8,9,11,3,7,5,3,2,1,-1.3818181818181814,15.272727272727275
Gauteng,Muldersdrift,Attempted murder,35,28,38,29,25,19,14,27,22,29,17,1,-1.3545454545454534,32.5
Eastern Cape,Vulindlela,Attempted murder,20,23,18,37,16,18,14,8,12,8,18,1,-1.345454545454545,24.181818181818183
Kwazulu/Natal,Mehlomnyama,Attempted murder,12,22,12,17,7,8,8,10,5,5,3,1,-1.336363636363636,16.59090909090909
Eastern Cape,Kirkwood,Attempted murder,13,15,25,17,9,5,8,5,10,5,6,1,-1.318181818181818,17.31818181818182
Gauteng,Khutsong,Attempted murder,24,15,20,36,20,14,7,11,11,20,9,1,-1.3181818181818177,23.590909090909093
Kwazulu/Natal,Umbumbulu,Attempted murder,27,29,25,18,10,13,9,21,16,16,13,1,-1.3090909090909097,24.454545454545464
Gauteng,Alberton,Attempted murder,34,35,43,45,28,35,20,19,28,34,27,1,-1.3090909090909093,38.18181818181819
Free State,Bainsvlei,Attempted murder,15,18,13,19,14,8,13,9,4,3,8,1,-1.2999999999999996,17.772727272727273
Gauteng,Sinoville,Attempted murder,14,18,27,23,22,18,9,9,7,15,8,1,-1.2999999999999992,21.954545454545453
Kwazulu/Natal,Folweni,Attempted murder,33,45,39,34,40,28,15,26,20,20,44,1,-1.2999999999999983,37.77272727272727
Gauteng,Diepkloof,Attempted murder,25,42,41,30,26,25,18,27,20,27,24,1,-1.2909090909090895,34.18181818181817
Gauteng,Heidelberg (Gp),Attempted murder,18,19,11,15,4,4,5,3,4,6,9,1,-1.2818181818181817,15.31818181818182
Gauteng,Florida,Attempted murder,29,28,24,26,27,22,14,19,20,18,17,1,-1.263636363636363,28.5
Mpumalanga,Mhala,Attempted murder,21,22,24,24,22,15,13,13,17,9,14,1,-1.2636363636363623,23.95454545454545
Kwazulu/Natal,Wembezi,Attempted murder,34,32,14,14,21,29,16,25,25,15,10,1,-1.2545454545454542,27.636363636363644
North West,Wolmaransstad,Attempted murder,24,22,13,12,8,6,10,7,6,5,16,1,-1.2454545454545454,17.954545454545457
Kwazulu/Natal,Port Edward,Attempted murder,9,15,13,6,12,5,5,4,1,0,3,1,-1.2454545454545447,12.863636363636362
Kwazulu/Natal,Wentworth,Attempted murder,38,53,47,66,45,38,29,45,43,39,36,1,-1.2363636363636352,49.72727272727273
Eastern Cape,Willowvale,Attempted murder,25,21,26,13,12,9,14,11,13,7,18,1,-1.1999999999999997,21.36363636363637
Gauteng,Yeoville,Attempted murder,46,41,35,25,9,15,18,29,33,18,36,1,-1.1909090909090907,33.68181818181818
Eastern Cape,Mount Frere,Attempted murder,34,23,26,23,30,19,21,16,14,24,19,1,-1.181818181818182,28.545454545454554
Gauteng,Sandringham,Attempted murder,26,24,21,25,13,16,13,18,16,15,13,1,-1.1818181818181817,24.0909090909091
Northern Cape,Kenhardt,Attempted murder,14,8,14,2,1,3,2,1,1,2,1,1,-1.1727272727272726,10.318181818181822
Mpumalanga,Standerton,Attempted murder,12,9,21,22,17,8,11,9,6,6,4,1,-1.1727272727272724,17.22727272727273
North West,Lethlabile,Attempted murder,26,19,29,20,31,18,22,15,18,21,9,1,-1.172727272727272,26.59090909090909
Gauteng,Eldorado Park,Attempted murder,46,37,43,55,56,31,40,29,32,35,42,1,-1.1727272727272702,46.40909090909091
Eastern Cape,Ngangelizwe,Attempted murder,38,27,27,27,20,29,32,5,74,9,5,1,-1.163636363636363,32.45454545454545
Western Cape,Woodstock,Attempted murder,17,12,18,11,4,7,4,5,2,9,6,1,-1.1545454545454545,14.40909090909091
Eastern Cape,Msobomvu,Attempted murder,35,27,22,22,43,41,35,22,30,15,16,1,-1.154545454545454,33.77272727272727
Kwazulu/Natal,Taylors Halt,Attempted murder,18,19,18,19,25,18,7,7,10,10,13,1,-1.1545454545454532,20.68181818181818
Gauteng,Welbekend,Attempted murder,13,15,12,17,11,8,3,4,4,7,6,1,-1.1363636363636367,14.772727272727277
Gauteng,Bramley,Attempted murder,22,38,51,41,30,28,26,25,24,21,34,1,-1.1363636363636358,36.59090909090909
Eastern Cape,Coffee Bay,Attempted murder,5,9,25,2,2,1,1,1,1,3,0,1,-1.1272727272727272,10.181818181818183
Gauteng,Parkview,Attempted murder,14,17,14,7,8,7,5,7,5,6,4,1,-1.1272727272727268,14.181818181818182
Kwazulu/Natal,Paddock,Attempted murder,9,14,10,19,15,9,8,4,2,1,7,1,-1.1181818181818175,14.499999999999998
Kwazulu/Natal,Richards Bay,Attempted murder,63,37,28,37,34,36,24,29,29,34,46,1,-1.0909090909090913,41.545454545454554
Mpumalanga,Leslie,Attempted murder,15,25,20,15,14,10,11,8,9,15,9,1,-1.0909090909090904,19.181818181818183
Eastern Cape,Flagstaff,Attempted murder,43,27,27,28,26,30,24,35,22,14,30,1,-1.0909090909090897,33.27272727272727
Gauteng,Randburg,Attempted murder,16,29,36,22,19,11,12,9,17,14,22,1,-1.0909090909090888,24.272727272727266
Gauteng,Dobsonville,Attempted murder,63,90,75,60,69,50,53,54,48,74,74,1,-1.0727272727272716,69.9090909090909
Mpumalanga,Komatipoort,Attempted murder,19,15,13,17,9,8,6,13,8,6,8,1,-1.0636363636363633,16.40909090909091
Western Cape,Kensington,Attempted murder,43,29,20,9,9,22,4,9,23,30,18,1,-1.063636363636363,24.954545454545453
Mpumalanga,Acornhoek,Attempted murder,27,14,29,15,25,16,20,9,17,12,16,1,-1.0545454545454547,23.454545454545457
Eastern Cape,Mount Road,Attempted murder,21,18,25,15,17,16,12,12,11,8,17,1,-1.0272727272727271,20.772727272727277
Eastern Cape,East London,Attempted murder,31,17,20,25,19,21,17,14,13,13,21,1,-1.0090909090909084,24.227272727272727
Kwazulu/Natal,Scottburgh,Attempted murder,23,11,25,15,15,8,14,8,10,21,5,1,-1.0,19.09090909090909
Eastern Cape,Humewood,Attempted murder,17,17,16,11,8,10,11,5,5,5,13,1,-0.9999999999999998,15.727272727272732
Mpumalanga,Amsterdam,Attempted murder,16,5,9,8,10,2,3,3,6,3,1,1,-0.9909090909090905,10.954545454545455
Mpumalanga,Witbank,Attempted murder,34,52,35,59,67,34,30,38,43,41,32,1,-0.9909090909090891,47.22727272727273
Kwazulu/Natal,Inchanga,Attempted murder,25,7,20,15,15,15,14,8,10,15,6,1,-0.9818181818181814,18.545454545454543
Kwazulu/Natal,Kokstad,Attempted murder,22,22,11,10,12,12,18,10,10,12,8,1,-0.9727272727272729,18.22727272727273
North West,Mmabatho,Attempted murder,28,22,23,25,23,22,31,27,21,15,11,1,-0.9727272727272721,27.40909090909091
Gauteng,Ratanda,Attempted murder,0,0,11,17,15,10,13,9,5,6,10,1,-0.9666666666666673,16.46666666666667
Eastern Cape,Lusikisiki,Attempted murder,71,45,34,51,47,53,38,42,64,49,34,1,-0.9636363636363643,52.818181818181834
Eastern Cape,Aliwal North,Attempted murder,15,4,7,0,4,0,3,0,1,1,0,1,-0.9636363636363637,8.000000000000002
Mpumalanga,Dirkiesdorp,Attempted murder,11,17,21,14,8,6,3,12,7,5,10,1,-0.9454545454545455,15.090909090909095
Gauteng,Orange Farms,Attempted murder,64,65,55,37,41,39,36,50,44,52,56,1,-0.9454545454545441,53.72727272727272
Gauteng,Mamelodi East,Attempted murder,0,53,116,75,78,52,58,48,81,76,73,1,-0.9333333333333318,76.13333333333333
Kwazulu/Natal,Margate,Attempted murder,24,37,23,14,23,18,16,19,14,20,22,1,-0.9272727272727279,25.545454545454557
Mpumalanga,Vaalbank,Attempted murder,16,19,16,22,22,13,7,10,12,10,13,1,-0.9272727272727269,19.181818181818183
Kwazulu/Natal,Chatsworth,Attempted murder,76,94,96,95,103,77,73,54,67,87,101,1,-0.9272727272727251,88.54545454545455
Gauteng,Boipatong,Attempted murder,9,11,7,13,10,11,5,5,4,2,2,1,-0.9181818181818182,11.772727272727275
Kwazulu/Natal,Umzimkhulu,Attempted murder,23,14,9,9,10,11,12,12,10,6,7,1,-0.9181818181818177,15.77272727272727
Kwazulu/Natal,Pinetown,Attempted murder,54,49,85,73,54,40,47,62,53,70,42,1,-0.9181818181818175,61.77272727272729
Limpopo,Lebowakgomo,Attempted murder,41,15,16,20,16,21,7,17,18,17,21,1,-0.9181818181818173,23.59090909090909
Mpumalanga,Kabokweni,Attempted murder,20,31,32,31,28,38,35,25,15,11,27,1,-0.9181818181818168,31.227272727272723
Eastern Cape,Nemato,Attempted murder,0,0,27,8,9,7,6,13,8,11,10,1,-0.9166666666666661,16.499999999999996
North West,Ikageng,Attempted murder,23,25,25,12,21,19,6,11,14,15,21,1,-0.9090909090909091,22.000000000000007
Northern Cape,Deben,Attempted murder,9,13,11,15,4,3,5,4,3,3,6,1,-0.9090909090909091,11.454545454545459
Limpopo,Mecklenburg,Attempted murder,19,25,17,18,11,14,11,14,17,11,12,1,-0.9000000000000004,19.86363636363637
Gauteng,Langlaagte,Attempted murder,25,28,25,35,23,12,18,15,24,19,22,1,-0.8999999999999991,26.863636363636367
Mpumalanga,Hazyview,Attempted murder,14,10,29,30,19,11,20,4,19,12,9,1,-0.8909090909090908,20.545454545454547
Kwazulu/Natal,Emanguzi,Attempted murder,24,22,19,12,8,7,13,10,11,16,14,1,-0.8818181818181813,18.590909090909093
Kwazulu/Natal,Greytown,Attempted murder,35,34,29,48,37,27,27,33,27,20,36,1,-0.8818181818181802,36.5
North West,Rustenburg,Attempted murder,66,87,102,62,76,48,45,71,58,84,78,1,-0.8818181818181793,75.04545454545453
Mpumalanga,Graskop,Attempted murder,9,7,12,8,5,3,0,0,3,4,2,1,-0.8636363636363634,9.136363636363637
Mpumalanga,Trichardt,Attempted murder,6,7,8,9,4,0,0,0,0,0,2,1,-0.8545454545454543,7.545454545454545
Mpumalanga,Elukwatini,Attempted murder,11,10,21,10,14,6,5,6,6,6,8,1,-0.8454545454545456,13.590909090909095
Gauteng,Wonderboompoort,Attempted murder,15,13,3,12,15,6,3,5,1,4,10,1,-0.845454545454545,12.136363636363635
Mpumalanga,Kwamhlanga,Attempted murder,42,43,29,36,35,44,23,26,34,24,42,1,-0.8454545454545448,38.59090909090911
Gauteng,Ennerdale,Attempted murder,42,36,47,41,36,19,25,24,21,36,48,1,-0.8454545454545448,38.31818181818183
Kwazulu/Natal,Mbongolwane,Attempted murder,19,17,13,10,24,9,14,9,18,8,7,1,-0.8454545454545447,17.681818181818183
Gauteng,Douglasdale,Attempted murder,42,51,43,47,49,35,34,37,45,30,46,1,-0.8454545454545425,45.954545454545446
Mpumalanga,Matsulu,Attempted murder,23,11,23,26,22,11,14,20,17,10,13,1,-0.8363636363636358,21.454545454545457
Free State,Jacobsdal,Attempted murder,7,10,9,1,3,7,0,0,0,4,0,1,-0.8272727272727272,7.863636363636364
Limpopo,Mokopane,Attempted murder,11,15,9,9,8,8,7,6,2,8,4,1,-0.8272727272727269,12.045454545454545
Kwazulu/Natal,Umhlali,Attempted murder,38,36,45,32,32,27,26,38,22,29,38,1,-0.8272727272727263,37.13636363636364
Kwazulu/Natal,Ulundi,Attempted murder,21,29,44,22,13,18,20,23,29,19,18,1,-0.827272727272726,27.409090909090907
Limpopo,Motetema,Attempted murder,14,17,16,20,19,7,5,17,10,9,10,1,-0.818181818181818,17.18181818181818
Northern Cape,Sunrise,Attempted murder,12,10,14,22,14,11,9,3,9,12,4,1,-0.8181818181818177,15.0
Eastern Cape,Matatiele,Attempted murder,20,7,6,5,3,4,5,3,4,9,2,1,-0.8181818181818177,10.272727272727272
North West,Mmakau,Attempted murder,16,14,5,8,12,11,10,8,6,4,6,1,-0.8090909090909093,13.136363636363642
Kwazulu/Natal,Elandslaagte,Attempted murder,17,12,13,8,14,9,7,5,10,14,2,1,-0.809090909090909,14.136363636363638
Mpumalanga,Lothair,Attempted murder,12,5,4,7,5,2,3,1,3,1,1,1,-0.8,8.000000000000004
Gauteng,Kameeldrift,Attempted murder,15,14,21,24,16,14,11,10,20,11,7,1,-0.7999999999999996,18.81818181818182
Eastern Cape,Mount Ayliff,Attempted murder,25,13,16,18,22,18,20,19,12,9,13,1,-0.7999999999999986,20.818181818181813
Mpumalanga,Middelburg Mpumalang,Attempted murder,26,36,17,17,36,18,42,27,22,14,18,1,-0.79090909090909,28.772727272727277
