Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Kwazulu/Natal,Mpumalanga Kzn,Murder,65,68,50,79,59,39,64,84,92,64,73,1,1.5000000000000007,59.5
Eastern Cape,Cala,Murder,26,19,21,19,31,22,32,28,39,44,25,1,1.5272727272727271,20.181818181818187
Eastern Cape,Centane,Murder,55,48,50,43,59,44,49,76,49,67,63,1,1.536363636363638,47.13636363636364
Free State,Phuthaditjhaba,Murder,7,13,22,24,26,27,27,35,25,26,26,1,1.6272727272727274,15.318181818181818
Western Cape,Grabouw,Murder,20,18,21,19,39,14,27,23,39,32,35,1,1.6454545454545462,17.86363636363636
Gauteng,Evaton,Murder,49,62,55,48,58,50,62,59,48,82,69,1,1.681818181818182,49.954545454545475
Eastern Cape,Lady Frere,Murder,27,29,29,29,20,23,29,35,29,45,47,1,1.681818181818182,22.681818181818183
Eastern Cape,Maclear,Murder,5,6,11,7,18,17,19,22,18,17,23,1,1.6909090909090907,6.3636363636363695
North West,Mooinooi,Murder,10,8,10,18,18,13,10,14,19,11,43,1,1.7090909090909097,7.272727272727273
Mpumalanga,Ermelo,Murder,28,19,25,24,37,28,39,34,45,43,31,1,1.7545454545454542,23.318181818181824
North West,Hebron,Murder,0,0,0,0,0,0,6,6,8,12,12,1,1.7999999999999994,-5.599999999999995
Eastern Cape,Libode,Murder,63,54,51,39,46,50,58,62,88,63,62,1,1.8181818181818181,48.72727272727275
Gauteng,Fochville,Murder,16,20,29,20,17,38,33,33,54,26,28,1,1.8272727272727276,19.40909090909091
Eastern Cape,Elliotdale,Murder,19,17,15,13,18,18,29,26,28,34,31,1,1.8545454545454543,13.272727272727277
Mpumalanga,Embalenhle,Murder,54,48,33,44,39,39,42,28,47,66,79,1,1.909090909090909,37.63636363636364
Limpopo,Thohoyandou,Murder,28,40,33,37,36,18,24,29,51,55,53,1,1.9181818181818187,27.136363636363637
Gauteng,Honeydew,Murder,30,41,67,47,32,46,19,42,59,48,76,1,1.9181818181818189,36.50000000000001
Gauteng,Ivory Park,Murder,64,76,69,75,68,78,83,71,80,98,81,1,1.9363636363636383,66.95454545454545
Western Cape,Nyanga,Murder,282,302,266,206,215,197,232,261,305,300,279,1,2.009090909090913,248.59090909090912
Western Cape,Lwandle,Murder,0,0,0,29,32,31,48,38,46,38,44,1,2.0238095238095237,25.0952380952381
Free State,Bloemspruit,Murder,54,67,63,68,76,79,74,76,76,89,71,1,2.054545454545455,61.81818181818183
Western Cape,Manenberg,Murder,42,39,30,29,23,33,29,35,41,63,60,1,2.154545454545455,27.772727272727277
Western Cape,Stellenbosch,Murder,19,17,25,21,34,30,24,25,26,49,41,1,2.172727272727273,17.409090909090914
Free State,Odendaalsrus,Murder,14,28,14,22,31,21,17,36,35,35,41,1,2.181818181818182,15.818181818181824
Gauteng,Carletonville,Murder,21,18,25,24,33,21,25,25,63,42,35,1,2.4909090909090907,17.727272727272734
Free State,Welkom,Murder,29,25,29,37,24,47,68,58,48,39,44,1,2.490909090909092,28.272727272727263
Western Cape,Ravensmead,Murder,20,18,23,21,28,23,15,24,44,44,43,1,2.500000000000001,15.04545454545455
Limpopo,Sebayeng,Murder,0,0,0,0,0,0,0,0,4,6,9,1,2.500000000000002,-16.166666666666682
North West,Marikana,Murder,15,27,25,32,29,31,35,95,42,23,40,1,2.6545454545454543,22.545454545454554
Eastern Cape,Cofimvaba,Murder,38,44,51,43,49,49,44,53,71,74,63,1,2.9090909090909087,38.09090909090911
Western Cape,Grassy Park,Murder,17,15,20,7,12,15,15,35,33,41,42,1,2.9727272727272727,8.045454545454549
Eastern Cape,Lusikisiki,Murder,98,84,64,80,77,90,80,109,112,102,110,1,3.063636363636361,76.13636363636368
